Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,368.0,369.7,367.0,,,,
1998-03-24,390.0,390.0,365.5,375.0,375.0,8400.0,31.38
1998-03-25,386.6,387.0,381.0,385.0,385.0,22600.0,86.99
1998-03-26,387.0,387.0,382.05,382.05,382.05,2100.0,8.09
1998-03-27,380.0,382.0,372.1,380.0,379.8,5900.0,22.41
1998-03-30,380.0,383.0,378.0,383.0,379.35,8600.0,32.62
1998-03-31,378.45,381.0,368.05,368.25,370.45,3900.0,14.55
1998-04-01,389.0,394.4,388.25,390.0,389.95,7300.0,28.45
1998-04-02,399.0,405.0,390.0,390.0,390.5,3300.0,13.1
1998-04-03,390.0,390.0,383.0,388.0,388.0,2300.0,8.92
1998-04-06,389.0,390.0,382.75,383.0,383.5,1800.0,6.92
1998-04-07,382.0,407.5,382.0,400.0,399.9,77100.0,303.53
1998-04-09,400.0,400.0,390.0,393.0,393.0,373500.0,1488.88
1998-04-10,395.25,400.35,390.0,390.1,394.9,30600.0,121.12
1998-04-13,395.65,395.65,387.0,389.0,389.45,98800.0,387.19
1998-04-15,387.0,391.95,380.0,390.0,390.0,1600.0,6.2
1998-04-16,382.0,396.0,380.0,395.0,393.85,58500.0,228.17
1998-04-17,390.05,410.0,390.0,410.0,406.35,9400.0,37.65
1998-04-20,400.0,416.0,400.0,416.0,414.15,9400.0,38.65
1998-04-21,408.2,408.9,400.1,403.0,402.2,4300.0,17.39
1998-04-22,409.8,410.0,400.0,400.0,401.35,1600.0,6.5
1998-04-23,400.0,410.0,395.0,402.0,409.25,29500.0,120.2
1998-04-24,397.5,401.0,395.0,401.0,401.0,5600.0,22.41
1998-04-27,393.0,400.1,393.0,400.0,400.0,2200.0,8.75
1998-04-28,394.0,400.0,394.0,400.0,398.65,129000.0,513.64
1998-04-29,388.0,401.0,388.0,400.0,400.35,4200.0,16.66
1998-04-30,398.0,400.0,398.0,400.0,400.0,21000.0,83.7
1998-05-04,399.0,399.0,393.25,393.25,393.25,600.0,2.37
1998-05-05,390.0,393.0,390.0,390.0,390.0,40300.0,157.17
1998-05-06,390.0,400.0,390.0,400.0,399.8,16600.0,65.97
1998-05-08,384.0,394.0,384.0,390.55,390.75,500.0,1.95
1998-05-11,387.0,387.0,355.0,380.0,380.0,1400.0,5.24
1998-05-12,380.0,400.0,376.0,398.0,390.7,133800.0,509.22
1998-05-13,385.0,392.0,381.0,381.0,381.05,4000.0,15.57
1998-05-14,385.0,386.0,380.0,380.0,380.0,800.0,3.07
1998-05-15,376.0,376.0,371.0,373.0,373.05,20400.0,75.7
1998-05-18,371.0,379.0,370.0,370.0,370.45,1500.0,5.57
1998-05-19,373.0,374.0,370.0,371.0,372.0,2700.0,10.05
1998-05-20,375.6,380.0,375.6,379.95,379.1,5400.0,20.46
1998-05-21,379.7,379.85,370.0,376.0,376.0,8700.0,32.34
1998-05-22,372.5,375.0,371.05,373.0,373.0,2000.0,7.48
1998-05-25,380.0,381.6,370.6,370.6,370.6,1200.0,4.51
1998-05-26,370.0,370.0,336.0,340.0,343.4,14100.0,51.31
1998-05-27,362.9,363.0,349.0,355.0,359.55,13200.0,47.3
1998-05-28,360.0,368.0,348.0,358.85,356.9,115700.0,414.7
1998-05-29,350.05,356.0,350.05,355.5,355.75,8300.0,29.2
1998-06-01,363.0,391.0,363.0,365.0,368.35,9600.0,36.58
1998-06-02,356.0,362.0,340.0,352.05,352.15,4400.0,15.61
1998-06-03,358.0,361.9,355.0,361.9,361.9,300.0,1.07
1998-06-04,380.0,380.0,351.0,362.0,368.05,59700.0,216.09
1998-06-05,365.0,365.0,351.0,364.0,361.0,80300.0,289.05
1998-06-08,350.0,355.0,346.0,354.0,354.0,1800.0,6.34
1998-06-09,345.0,380.0,345.0,366.55,370.5,35200.0,127.75
1998-06-10,380.0,393.0,370.0,373.0,371.5,4200.0,16.02
1998-06-11,361.0,365.0,359.8,365.0,365.0,1800.0,6.52
1998-06-12,365.05,365.1,360.0,360.0,360.35,1600.0,5.79
1998-06-15,347.0,350.0,341.5,341.5,341.5,1700.0,5.88
1998-06-16,320.0,341.0,320.0,330.0,332.4,2600.0,8.62
1998-06-17,345.0,352.0,345.0,352.0,352.0,400.0,1.4
1998-06-18,337.0,340.0,336.5,340.0,340.0,500.0,1.69
1998-06-19,335.0,335.0,330.0,330.0,330.0,200.0,0.66
1998-06-22,330.0,330.0,311.1,329.5,323.85,1600.0,5.14
1998-06-23,325.05,332.0,325.0,325.0,325.0,1300.0,4.24
1998-06-24,335.0,335.0,335.0,335.0,335.0,200.0,0.67
1998-06-25,338.0,338.0,327.3,329.05,329.05,600.0,2.01
1998-06-26,334.95,335.0,332.5,332.5,332.5,400.0,1.34
1998-06-29,332.0,335.0,332.0,335.0,335.0,200.0,0.67
1998-06-30,327.25,350.0,327.25,350.0,349.7,25200.0,88.0
1998-07-01,345.0,345.0,335.0,335.0,335.0,10800.0,36.2
1998-07-02,333.05,333.05,316.0,316.0,317.1,27700.0,90.68
1998-07-03,320.0,320.0,320.0,320.0,320.0,200.0,0.64
1998-07-06,322.6,325.0,320.0,322.0,323.3,17300.0,55.9
1998-07-07,325.0,325.0,311.5,311.5,314.5,1500.0,4.77
1998-07-08,324.0,324.0,324.0,324.0,324.0,100.0,0.32
1998-07-10,325.0,325.0,324.75,325.0,325.0,500.0,1.62
1998-07-13,325.1,330.0,325.05,326.25,326.25,1100.0,3.59
1998-07-14,312.1,327.9,312.1,327.8,326.15,1300.0,4.21
1998-07-15,329.2,337.0,329.2,334.55,334.55,1900.0,6.35
1998-07-16,334.0,340.0,332.2,337.0,337.0,1300.0,4.38
1998-07-17,339.0,340.0,336.1,338.8,337.9,1500.0,5.07
1998-07-20,335.0,336.0,315.0,325.0,328.75,44500.0,147.23
1998-07-21,326.0,328.0,319.0,319.0,326.65,3300.0,10.75
1998-07-22,321.5,322.5,320.0,322.0,321.0,1000.0,3.21
1998-07-23,322.5,322.5,320.5,320.5,320.75,2700.0,8.66
1998-07-24,320.0,320.0,314.3,315.0,315.0,3400.0,10.74
1998-07-27,310.0,330.0,310.0,330.0,326.0,23800.0,77.26
1998-07-28,331.0,340.0,316.0,340.0,327.65,91100.0,296.25
1998-07-29,336.0,340.0,325.0,340.0,333.05,87300.0,289.66
1998-07-30,342.0,343.9,328.6,330.0,330.1,24700.0,82.84
1998-07-31,333.0,333.0,316.0,320.0,320.0,41200.0,133.02
1998-08-03,306.0,321.9,306.0,319.0,320.05,17000.0,53.88
1998-08-04,320.7,321.0,317.1,317.1,319.05,16800.0,53.64
1998-08-05,315.0,319.0,315.0,319.0,318.35,11100.0,35.34
1998-08-06,319.7,319.75,311.7,311.7,314.85,21700.0,68.59
1998-08-07,310.0,310.0,289.75,289.75,294.6,54400.0,163.78
1998-08-10,276.0,290.0,275.0,275.0,276.3,44000.0,125.45
1998-08-11,267.5,272.0,262.3,265.95,265.75,69300.0,185.49
1998-08-12,260.0,274.9,257.0,259.8,258.7,68800.0,182.34
1998-08-13,260.0,266.5,258.0,259.95,259.55,96500.0,253.83
1998-08-14,262.7,264.55,260.0,262.0,261.35,37100.0,97.14
1998-08-17,263.95,264.0,259.4,259.4,259.9,40900.0,107.09
1998-08-18,258.0,259.0,245.25,246.9,246.6,86300.0,216.8
1998-08-19,251.85,254.5,234.0,236.0,235.45,114300.0,276.92
1998-08-20,238.5,248.45,236.0,248.0,244.3,112700.0,272.32
1998-08-21,248.5,258.0,244.0,249.0,250.4,150100.0,377.56
1998-08-24,250.0,255.7,245.3,255.0,254.85,58300.0,146.9
1998-08-25,258.0,267.75,257.0,266.05,265.25,353800.0,940.33
1998-08-27,268.9,278.0,258.0,269.0,273.75,259500.0,697.24
1998-08-28,263.0,267.0,252.65,252.7,253.9,221600.0,568.99
1998-08-31,262.35,262.35,241.5,250.1,253.1,250900.0,639.28
1998-09-01,246.2,247.5,232.85,232.85,232.85,223600.0,526.13
1998-09-02,240.0,240.0,222.8,228.1,228.55,128500.0,295.12
1998-09-03,229.0,237.0,215.1,219.35,220.0,107100.0,241.11
1998-09-04,223.5,232.0,220.0,230.45,228.85,243200.0,553.06
1998-09-07,235.5,247.2,231.0,246.95,246.6,213800.0,516.04
1998-09-08,248.0,252.5,243.0,248.1,249.65,122800.0,304.21
1998-09-09,260.0,269.65,255.0,266.75,266.6,211600.0,565.71
1998-09-10,264.8,282.4,264.3,271.0,271.8,132300.0,363.94
1998-09-11,268.0,271.0,265.1,268.0,267.9,140900.0,378.31
1998-09-14,271.75,282.9,271.75,278.0,278.7,204400.0,568.61
1998-09-15,275.0,284.0,273.55,282.0,280.5,108900.0,303.18
1998-09-16,284.0,284.5,275.6,276.0,276.85,68300.0,190.3
1998-09-17,276.0,276.0,272.6,275.15,275.2,26400.0,72.41
1998-09-18,271.55,273.5,269.7,271.1,271.3,66100.0,178.78
1998-09-21,269.7,273.95,264.0,264.0,266.1,22600.0,60.53
1998-09-22,265.9,267.5,257.25,260.1,259.85,88600.0,230.37
1998-09-23,261.2,274.0,261.2,267.05,267.6,70000.0,188.28
1998-09-24,274.0,276.0,271.0,272.1,273.3,91800.0,251.11
1998-09-25,274.0,281.75,270.0,275.0,274.75,152600.0,421.04
1998-09-28,277.75,277.8,266.4,268.6,269.35,132000.0,357.82
1998-09-29,269.0,272.0,260.3,264.0,263.45,105800.0,281.04
1998-09-30,274.4,275.5,260.0,267.4,266.45,71100.0,188.78
1998-10-05,261.25,261.25,245.15,245.15,245.15,24500.0,60.92
1998-10-06,237.0,237.0,225.55,225.55,225.55,178200.0,403.14
1998-10-07,234.0,235.0,228.0,232.0,230.85,153300.0,354.1
1998-10-08,232.3,236.9,212.4,214.1,221.2,122100.0,273.25
1998-10-09,219.9,236.95,207.6,230.0,227.35,224700.0,506.44
1998-10-12,233.5,235.0,220.0,225.25,226.0,148000.0,337.54
1998-10-13,224.3,228.0,219.5,226.1,225.7,142400.0,321.68
1998-10-14,225.05,243.8,225.05,242.0,242.65,59000.0,140.24
1998-10-15,237.0,246.7,236.0,243.5,243.1,58800.0,142.89
1998-10-16,244.8,262.55,240.55,262.55,262.4,109100.0,277.87
1998-10-19,265.0,265.0,259.0,259.5,259.95,31900.0,83.5
1998-10-20,258.1,258.75,248.1,249.05,251.7,137900.0,345.74
1998-10-22,255.0,256.6,250.0,252.1,252.7,21200.0,53.74
1998-10-23,250.35,257.0,247.25,254.05,254.6,75000.0,188.94
1998-10-26,262.0,272.0,262.0,268.15,268.35,45000.0,120.12
1998-10-27,265.25,275.5,249.25,270.05,272.75,44900.0,118.93
1998-10-28,273.25,275.75,263.5,264.0,264.95,76100.0,204.96
1998-10-29,263.5,263.5,255.5,258.1,259.8,63100.0,164.12
1998-10-30,260.0,263.0,254.0,256.9,256.65,49100.0,127.48
1998-10-31,253.1,255.45,253.05,254.5,254.4,1500.0,3.81
1998-11-02,257.75,257.75,251.1,254.0,253.95,25300.0,64.18
1998-11-03,252.5,257.0,252.1,255.5,255.3,22100.0,56.24
1998-11-05,257.0,260.95,253.95,260.0,259.65,46400.0,119.74
1998-11-06,260.0,261.9,250.0,255.9,254.2,72000.0,183.03
1998-11-09,258.0,265.0,257.2,262.6,262.05,47500.0,124.39
1998-11-10,260.0,261.4,255.0,259.05,259.1,10800.0,27.94
1998-11-11,262.05,264.5,260.0,262.4,262.0,48800.0,127.9
1998-11-12,259.1,262.5,259.1,262.3,262.3,26400.0,68.78
1998-11-13,261.0,263.5,258.25,260.5,259.95,76000.0,197.19
1998-11-16,262.0,262.0,259.0,262.0,261.7,9800.0,25.57
1998-11-17,260.2,272.0,260.0,272.0,268.0,18900.0,49.87
1998-11-18,270.0,272.5,266.75,270.0,270.0,18600.0,50.0
1998-11-19,272.4,272.4,265.15,268.6,268.6,31500.0,84.32
1998-11-20,269.95,269.95,264.0,264.0,264.0,14100.0,37.38
1998-11-21,264.05,264.05,264.05,264.05,264.05,100.0,0.26
1998-11-23,260.2,261.5,257.7,261.0,261.0,7600.0,19.79
1998-11-24,260.0,262.1,258.55,262.1,262.1,15600.0,40.68
1998-11-26,257.0,257.0,253.1,254.7,254.7,9100.0,23.19
1998-11-27,252.65,254.0,246.0,246.0,246.0,38900.0,96.7
1998-11-28,245.0,246.8,243.8,244.1,244.1,3500.0,8.58
1998-11-30,243.0,244.5,239.15,244.5,244.5,16300.0,39.71
1998-12-01,247.0,247.0,230.0,233.5,233.5,26600.0,63.12
1998-12-02,237.8,244.0,235.1,239.0,239.0,13700.0,32.57
1998-12-03,236.1,239.0,236.0,239.0,239.0,13500.0,31.93
1998-12-04,239.0,239.0,233.5,236.1,236.1,38000.0,89.61
1998-12-07,235.0,242.5,235.0,242.5,242.5,10600.0,25.44
