Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,476.0,493.0,470.0,,,,
1998-03-23,477.1,483.75,477.1,482.8,482.8,2300.0,11.06
1998-03-24,470.0,487.0,461.0,469.8,465.5,45100.0,214.6
1998-03-25,486.0,486.0,473.5,476.0,476.15,9300.0,44.31
1998-03-26,476.0,478.0,468.05,469.6,470.1,6300.0,29.78
1998-03-27,467.0,472.9,467.0,468.0,468.0,3200.0,15.05
1998-03-30,468.0,476.0,467.3,470.0,470.0,7700.0,36.26
1998-03-31,468.5,472.95,463.0,467.0,467.75,16300.0,76.24
1998-04-01,477.0,514.55,477.0,514.55,514.5,49300.0,248.68
1998-04-02,514.55,520.0,500.0,500.75,502.8,21800.0,111.19
1998-04-03,500.0,505.0,499.25,502.0,502.7,12600.0,63.39
1998-04-06,507.0,515.0,502.25,515.0,513.65,12700.0,64.62
1998-04-07,520.0,524.0,504.0,505.0,506.95,25800.0,132.38
1998-04-09,521.1,536.5,520.0,525.25,526.05,19300.0,102.03
1998-04-10,529.0,529.0,515.0,515.0,515.95,10400.0,54.04
1998-04-13,500.0,520.0,496.0,520.0,514.35,23000.0,118.25
1998-04-15,529.0,565.8,529.0,561.0,560.05,60200.0,334.31
1998-04-16,560.0,567.0,541.0,544.0,545.35,13400.0,73.74
1998-04-17,547.0,558.65,543.35,558.65,555.0,20400.0,112.38
1998-04-20,558.0,575.0,552.75,553.0,558.6,45500.0,256.95
1998-04-21,562.0,600.0,562.0,593.0,596.0,32200.0,186.93
1998-04-22,625.0,625.0,577.0,577.0,578.7,29900.0,180.34
1998-04-23,561.0,584.85,560.0,570.0,568.9,15300.0,87.57
1998-04-24,570.0,585.0,542.0,585.0,579.8,18600.0,104.65
1998-04-27,588.0,605.0,582.5,585.95,584.95,27500.0,163.09
1998-04-28,580.0,580.0,552.1,574.0,560.25,25100.0,141.64
1998-04-29,600.0,600.0,562.15,570.0,571.45,10800.0,62.53
1998-04-30,565.0,584.85,555.0,580.0,581.65,13000.0,74.55
1998-05-04,592.0,612.8,585.1,605.9,605.9,24900.0,148.86
1998-05-05,606.9,611.0,592.0,608.95,607.15,24700.0,148.88
1998-05-06,615.0,635.0,595.0,610.1,610.35,52000.0,320.88
1998-05-08,599.95,614.5,592.0,596.5,599.9,23700.0,143.11
1998-05-11,596.55,600.0,590.05,599.5,599.9,12200.0,72.58
1998-05-12,590.0,590.0,539.95,565.0,567.9,45900.0,258.71
1998-05-13,525.0,572.5,524.9,525.0,533.9,40900.0,226.73
1998-05-14,535.0,565.0,527.0,560.0,561.3,28600.0,156.73
1998-05-15,558.0,568.0,550.0,554.0,553.95,8800.0,49.17
1998-05-18,563.0,599.7,563.0,586.0,585.3,26900.0,157.26
1998-05-19,590.0,615.0,586.05,600.0,605.35,21300.0,127.69
1998-05-20,620.0,620.0,608.0,613.0,615.65,20700.0,127.48
1998-05-21,608.0,611.0,585.0,599.9,599.25,15900.0,95.34
1998-05-22,597.0,597.0,590.3,591.0,591.6,8200.0,48.6
1998-05-25,587.95,600.0,587.95,600.0,597.8,9400.0,55.99
1998-05-26,595.0,603.0,593.0,601.75,600.55,23200.0,139.17
1998-05-27,600.0,605.0,593.75,600.0,600.2,10800.0,64.76
1998-05-28,595.0,606.0,592.0,600.0,596.1,7200.0,43.12
1998-05-29,590.0,599.95,569.0,596.5,595.75,6400.0,37.51
1998-06-01,604.0,610.0,585.0,585.25,588.85,7800.0,46.83
1998-06-02,573.0,585.0,568.75,585.0,576.4,15900.0,92.31
1998-06-03,578.0,600.0,568.5,600.0,599.2,9900.0,57.64
1998-06-04,601.0,628.0,601.0,605.0,607.2,16000.0,98.44
1998-06-05,605.0,605.0,575.0,575.0,579.25,5700.0,33.49
1998-06-08,578.0,578.0,526.5,543.5,539.45,10400.0,56.62
1998-06-09,538.0,593.3,531.3,593.3,593.3,13100.0,75.37
1998-06-10,583.0,585.0,538.0,541.0,546.15,25900.0,144.57
