Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,624.0,633.75,624.0,,,,
1998-03-23,628.0,630.0,626.0,626.0,626.0,300.0,1.88
1998-03-24,640.0,652.0,626.25,633.0,632.7,6900.0,43.75
1998-03-25,644.0,695.0,642.05,692.0,686.0,9650.0,65.27
1998-03-26,679.0,700.0,678.0,693.0,691.1,11150.0,76.98
1998-03-27,694.0,700.8,687.05,695.0,694.45,16100.0,111.9
1998-03-30,695.0,700.0,671.0,671.0,673.3,11650.0,80.31
1998-03-31,670.0,680.0,661.0,677.8,671.9,4800.0,32.13
1998-04-01,685.0,688.0,677.5,680.0,680.2,9750.0,66.4
1998-04-02,690.0,701.0,680.5,695.0,696.25,44350.0,308.33
1998-04-03,689.0,730.0,682.0,682.1,725.9,13350.0,95.96
1998-04-06,724.95,724.95,687.0,702.5,700.45,4800.0,33.48
1998-04-07,706.0,720.0,696.0,720.0,712.45,7550.0,53.56
1998-04-09,725.0,743.0,718.0,743.0,737.1,9250.0,67.42
1998-04-10,732.0,735.0,712.0,720.0,716.1,6650.0,48.14
1998-04-13,701.0,750.0,700.0,738.05,737.7,9500.0,69.66
1998-04-15,765.0,811.5,765.0,811.5,811.5,22900.0,180.37
1998-04-16,824.0,865.0,821.05,835.0,832.95,29850.0,252.45
1998-04-17,838.0,915.3,838.0,915.3,899.3,48950.0,424.36
1998-04-20,915.0,921.45,825.0,854.0,860.5,19500.0,173.92
1998-04-21,869.0,889.0,860.0,870.05,874.15,10750.0,93.85
1998-04-22,908.0,949.0,872.0,872.0,874.0,27250.0,247.99
1998-04-23,855.0,862.85,787.0,796.0,796.0,10950.0,91.16
1998-04-24,800.05,810.0,750.0,760.0,757.55,15050.0,114.93
1998-04-27,799.5,800.0,760.0,780.0,777.15,15850.0,122.25
1998-04-28,776.0,776.0,755.0,756.0,757.5,18600.0,142.59
1998-04-29,791.0,791.0,750.0,761.6,761.5,4350.0,33.55
1998-04-30,751.25,763.0,745.0,758.0,760.05,3000.0,22.65
1998-05-04,756.0,836.1,756.0,836.1,835.9,8550.0,68.34
1998-05-05,850.0,850.0,795.0,800.0,801.55,4800.0,38.77
1998-05-06,811.0,811.0,780.0,785.0,783.3,4050.0,32.15
1998-05-08,774.0,780.0,752.0,760.0,760.0,5550.0,42.2
1998-05-11,760.0,800.0,760.0,788.5,785.05,16950.0,132.53
1998-05-12,765.0,777.9,753.0,765.0,765.05,10250.0,78.12
1998-05-13,760.0,775.0,753.1,755.0,759.6,8650.0,65.94
1998-05-14,730.0,780.0,730.0,780.0,770.9,4950.0,37.4
1998-05-15,780.0,804.0,765.5,800.0,796.3,9150.0,71.87
1998-05-18,800.0,810.0,790.0,792.0,793.35,2950.0,23.6
1998-05-19,815.0,840.0,810.0,818.0,820.6,8050.0,66.3
1998-05-20,840.0,859.0,825.6,838.0,830.4,9450.0,79.83
1998-05-21,838.5,843.5,835.0,843.5,840.8,9700.0,81.39
1998-05-22,835.25,840.05,830.25,835.0,833.5,3400.0,28.48
1998-05-25,835.0,849.0,832.0,845.0,847.65,6200.0,52.23
1998-05-26,841.1,845.0,830.0,832.0,832.65,7850.0,65.88
1998-05-27,840.0,851.0,835.0,849.5,839.1,24000.0,201.55
1998-05-28,864.0,899.0,850.0,878.0,875.25,22200.0,193.37
1998-05-29,898.75,898.75,840.0,875.0,874.45,23000.0,198.59
1998-06-01,887.0,897.0,865.0,872.0,868.5,24400.0,215.14
1998-06-02,856.0,865.0,839.0,839.0,844.05,18750.0,159.16
1998-06-03,844.0,854.0,832.0,845.0,840.55,23550.0,197.43
1998-06-04,845.0,849.9,826.0,826.0,827.6,2550.0,21.41
1998-06-05,825.0,825.0,750.0,755.0,753.95,19350.0,151.98
1998-06-08,710.0,730.25,678.75,705.0,711.35,5650.0,39.94
1998-06-09,705.0,770.0,705.0,751.0,749.9,6200.0,45.8
1998-06-10,750.0,757.0,715.0,715.0,720.85,5800.0,42.55
1998-06-11,715.0,735.0,695.0,735.0,733.95,2600.0,18.69
1998-06-12,748.1,760.0,740.05,752.05,752.0,4900.0,36.91
1998-06-15,730.25,731.0,705.0,705.05,706.65,3150.0,22.59
1998-06-16,701.0,720.0,670.0,717.0,716.35,9300.0,65.33
1998-06-17,745.0,761.75,744.0,761.75,756.3,2750.0,20.63
1998-06-18,780.0,780.0,740.5,740.5,744.05,1700.0,12.79
1998-06-19,740.0,740.0,727.5,728.25,731.0,3900.0,28.54
1998-06-22,691.0,699.5,675.0,699.5,691.8,6750.0,46.49
1998-06-23,678.0,680.0,652.1,680.0,676.0,5200.0,34.89
1998-06-24,695.0,726.9,695.0,710.0,711.8,2800.0,20.03
1998-06-25,739.0,750.0,700.0,700.0,700.85,10350.0,74.3
1998-06-26,705.0,710.0,680.0,680.0,681.15,2450.0,16.89
1998-06-29,690.0,699.0,676.0,676.0,686.0,4250.0,29.2
1998-06-30,700.0,700.0,675.0,698.0,689.45,6600.0,45.36
1998-07-01,681.5,690.0,681.0,688.0,687.5,1050.0,7.18
1998-07-02,685.0,690.0,665.0,676.5,674.85,4200.0,28.49
1998-07-03,664.0,680.0,660.0,661.0,661.9,3300.0,22.14
1998-07-06,680.0,680.0,672.0,672.0,673.0,1700.0,11.5
1998-07-07,679.0,683.0,670.0,680.0,677.1,3150.0,21.29
1998-07-08,699.0,705.0,684.0,704.0,699.95,3700.0,25.71
1998-07-09,690.0,735.0,690.0,721.0,721.5,5650.0,40.66
1998-07-10,734.5,764.55,734.0,763.7,759.45,26400.0,198.8
1998-07-13,773.95,820.05,773.95,817.0,818.25,15700.0,128.03
1998-07-14,820.0,825.0,778.7,824.0,780.55,34050.0,267.6
1998-07-15,830.0,842.5,820.0,820.0,822.1,6000.0,49.87
1998-07-16,826.0,855.0,825.05,850.0,850.0,16500.0,137.96
1998-07-17,842.0,853.2,842.0,843.05,849.65,13800.0,116.93
1998-07-20,835.5,835.5,795.0,830.95,828.15,10150.0,83.16
1998-07-21,820.1,830.0,802.0,815.1,816.6,3500.0,28.47
1998-07-22,822.0,837.0,810.05,820.0,819.0,1000.0,8.22
1998-07-23,810.55,815.0,797.0,797.0,799.35,5450.0,43.88
1998-07-24,791.0,809.0,788.05,803.75,805.25,5750.0,46.0
1998-07-27,810.0,814.4,788.05,790.2,797.6,3950.0,31.47
1998-07-28,790.0,801.75,790.0,797.1,798.8,5500.0,43.9
1998-07-29,832.0,837.0,820.0,833.0,834.5,14800.0,122.79
1998-07-30,844.8,848.5,828.1,833.0,833.15,10150.0,85.19
1998-07-31,826.0,834.0,821.0,825.05,827.15,9350.0,77.17
1998-08-03,815.0,823.0,811.0,817.05,818.25,6100.0,49.82
1998-08-04,819.0,819.0,812.05,816.7,815.7,3400.0,27.7
1998-08-05,811.5,823.5,811.5,823.0,822.5,14450.0,117.84
1998-08-06,829.0,833.0,814.0,826.0,824.75,10100.0,83.38
1998-08-07,822.0,833.0,818.05,829.4,831.4,6450.0,53.53
1998-08-10,825.55,845.0,825.5,840.0,839.2,9400.0,78.59
1998-08-11,835.0,835.0,820.2,822.0,822.75,5850.0,48.29
1998-08-12,815.0,822.0,809.0,820.0,819.45,12550.0,102.85
1998-08-13,815.1,824.0,815.0,819.1,820.4,16100.0,131.53
1998-08-14,820.0,836.4,820.0,836.4,832.35,6650.0,55.19
1998-08-17,840.4,884.0,840.4,845.0,846.35,19750.0,169.12
1998-08-18,859.0,859.0,837.0,842.0,842.1,9850.0,83.1
1998-08-19,840.0,848.0,831.0,837.0,834.95,6250.0,52.55
1998-08-20,839.0,846.0,836.0,845.0,843.7,4450.0,37.43
1998-08-21,844.0,844.0,836.0,838.0,837.4,3550.0,29.77
1998-08-24,838.0,840.0,825.15,835.0,835.3,7250.0,60.49
1998-08-25,832.0,840.0,826.0,839.75,834.1,12350.0,102.91
1998-08-27,845.0,850.0,834.0,835.0,838.1,2600.0,21.88
1998-08-28,828.0,830.5,812.5,812.5,812.5,1500.0,12.38
1998-08-31,800.05,840.0,800.0,840.0,831.45,4700.0,38.61
1998-09-01,825.0,835.0,820.0,835.0,830.2,6300.0,52.11
1998-09-02,830.0,833.0,827.0,830.5,831.6,1200.0,9.97
1998-09-03,836.0,840.0,835.0,835.0,835.0,700.0,5.86
1998-09-04,839.0,840.0,835.0,840.0,839.8,1000.0,8.38
1998-09-07,840.0,864.0,840.0,862.9,861.8,5600.0,47.86
1998-09-08,863.0,885.0,863.0,877.0,881.0,5500.0,47.96
1998-09-09,888.0,907.0,880.0,900.0,900.0,86100.0,771.94
1998-09-10,913.0,917.5,895.0,896.0,897.9,54650.0,492.45
1998-09-11,886.0,897.5,880.0,890.0,888.0,5950.0,52.85
1998-09-14,895.75,896.0,875.1,879.0,880.35,4300.0,38.14
1998-09-15,864.1,872.6,855.25,870.0,863.45,17850.0,154.41
1998-09-16,872.0,877.0,865.1,865.1,867.75,18650.0,163.24
1998-09-17,865.0,869.0,858.5,860.5,862.95,2050.0,17.73
1998-09-18,859.5,862.5,840.0,840.0,846.5,17450.0,149.35
1998-09-21,849.0,850.0,831.6,838.0,837.8,2850.0,23.92
1998-09-22,832.0,840.0,830.0,839.0,833.15,3300.0,27.58
1998-09-23,842.5,846.5,838.0,840.0,840.0,10450.0,87.82
1998-09-24,845.95,852.0,843.0,849.95,849.5,1400.0,11.87
1998-09-25,847.3,852.0,846.0,850.0,850.0,4550.0,38.68
1998-09-28,864.0,894.9,864.0,882.05,882.55,17400.0,153.31
1998-09-29,885.0,910.0,872.05,904.0,900.75,42050.0,377.22
