Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,392.0,414.9,386.0,,,,
1998-03-23,415.0,418.0,412.5,415.0,415.0,27900.0,116.03
1998-03-24,420.0,432.0,410.0,429.0,428.65,152100.0,638.35
1998-03-25,432.0,454.0,430.15,448.5,449.1,200800.0,890.64
1998-03-26,443.0,452.0,422.0,425.6,425.3,101100.0,441.88
1998-03-27,424.0,427.2,414.75,421.0,420.5,189300.0,794.84
1998-03-30,424.4,427.9,403.5,404.1,407.9,87200.0,362.71
1998-03-31,404.0,409.95,394.0,400.0,398.45,147600.0,593.34
1998-04-01,411.5,436.5,411.0,428.7,427.35,112500.0,477.35
1998-04-02,430.0,441.75,421.0,437.5,437.15,156400.0,675.35
1998-04-03,444.0,456.0,441.0,446.0,446.0,92300.0,412.68
1998-04-06,448.0,448.75,436.05,442.0,440.65,45700.0,201.91
1998-04-07,438.0,452.0,437.0,440.0,441.2,82900.0,365.98
1998-04-09,462.0,470.0,455.0,465.0,465.6,91900.0,424.65
1998-04-10,469.5,470.0,456.5,457.0,457.6,50600.0,234.1
1998-04-13,450.0,453.0,431.0,438.0,438.15,67900.0,300.48
1998-04-15,455.0,462.75,454.5,458.0,457.55,26000.0,119.02
1998-04-16,458.0,459.0,440.0,446.2,447.9,34300.0,154.8
1998-04-17,447.9,448.25,442.15,447.25,446.3,28800.0,128.47
1998-04-20,450.0,490.0,450.0,474.1,475.9,159000.0,754.67
1998-04-21,475.0,489.7,475.0,484.0,485.35,128200.0,620.64
1998-04-22,509.0,533.9,509.0,515.0,516.8,328900.0,1732.59
1998-04-23,500.25,521.0,481.15,486.25,485.05,191700.0,961.12
1998-04-24,490.0,503.0,460.0,492.1,492.2,211700.0,1030.47
1998-04-27,499.0,515.0,471.3,487.0,484.4,360400.0,1778.62
1998-04-28,488.0,498.7,437.0,454.0,449.65,347800.0,1610.12
1998-04-29,468.0,493.0,462.0,466.0,465.8,262000.0,1247.31
1998-04-30,463.0,474.0,452.5,468.1,470.7,145600.0,677.52
1998-05-04,474.0,489.0,470.1,487.0,485.95,218900.0,1050.91
1998-05-05,490.0,490.9,474.0,482.0,477.45,167300.0,802.16
1998-05-06,489.0,493.0,468.0,471.4,469.15,74400.0,355.41
1998-05-08,469.5,471.0,455.0,463.0,463.15,109500.0,507.75
1998-05-11,465.0,465.0,459.25,462.75,461.65,15400.0,71.03
1998-05-12,458.75,458.75,415.75,446.0,441.0,131200.0,577.64
1998-05-13,440.0,444.9,417.15,420.0,421.0,93800.0,405.02
1998-05-14,415.0,460.0,415.0,459.0,457.4,184700.0,819.99
1998-05-15,460.0,461.8,444.0,446.0,445.6,77900.0,351.35
1998-05-18,452.75,475.0,450.0,465.0,464.65,127000.0,590.47
1998-05-19,465.0,480.0,462.0,480.0,474.0,91800.0,429.99
1998-05-20,487.0,489.0,475.1,482.3,483.95,82100.0,397.28
1998-05-21,484.0,492.0,466.0,473.6,472.35,87800.0,421.3
