Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,288.0,293.45,287.1,,,,
1998-03-23,300.0,300.0,293.8,293.8,293.8,3600.0,10.69
1998-03-24,297.0,300.0,293.5,298.75,299.0,20750.0,61.74
1998-03-25,307.0,308.8,303.0,304.0,304.2,12200.0,37.12
1998-03-26,305.0,310.0,302.0,302.0,303.45,10000.0,30.62
1998-03-27,303.0,306.0,301.5,305.0,305.05,2650.0,8.06
1998-03-30,305.0,319.6,305.0,308.8,308.2,13800.0,43.3
1998-03-31,309.5,310.5,306.05,306.05,308.9,8550.0,26.4
1998-04-01,317.95,321.0,316.65,321.0,319.2,4100.0,13.06
1998-04-02,320.0,322.0,315.0,315.0,317.2,10500.0,33.53
1998-04-03,319.95,319.95,314.05,319.5,318.65,26450.0,83.77
1998-04-06,317.0,335.0,317.0,330.0,328.7,18150.0,58.99
1998-04-07,329.25,337.4,326.5,333.75,332.4,14850.0,49.63
1998-04-09,338.0,360.0,338.0,348.0,346.8,12000.0,41.63
1998-04-10,341.0,349.0,332.0,332.0,335.9,8300.0,28.45
1998-04-13,332.0,332.0,312.0,322.0,317.9,14450.0,46.37
1998-04-15,329.0,336.75,328.3,333.7,333.5,3400.0,11.33
1998-04-16,340.0,353.0,328.0,334.05,338.3,18400.0,63.21
1998-04-17,340.0,346.0,339.0,342.0,342.25,12350.0,42.31
1998-04-20,340.0,349.0,339.4,339.4,339.4,9650.0,33.28
1998-04-21,342.55,347.25,340.1,347.25,342.35,18250.0,62.54
1998-04-22,351.0,375.0,351.0,360.6,361.6,34350.0,125.8
1998-04-23,360.75,378.5,357.3,360.55,361.3,46150.0,169.9
1998-04-24,362.0,363.0,330.0,351.3,352.1,21900.0,76.93
1998-04-27,355.0,361.5,350.0,350.0,350.4,12250.0,43.53
1998-04-28,346.0,367.4,328.0,347.5,347.75,61650.0,210.64
1998-04-29,357.0,357.0,340.25,342.5,342.15,16850.0,58.46
1998-04-30,345.0,345.0,330.0,344.0,343.3,13000.0,44.68
1998-05-04,340.05,347.0,331.0,342.0,341.65,4850.0,16.61
1998-05-05,341.0,363.9,320.05,353.9,349.05,73750.0,255.55
1998-05-06,350.0,350.0,335.0,338.55,338.3,19600.0,66.78
1998-05-08,335.0,339.75,333.1,333.1,335.65,10300.0,34.68
1998-05-11,337.8,339.0,334.0,338.0,338.1,6250.0,21.07
1998-05-12,334.0,334.0,321.25,332.0,332.15,20150.0,66.56
1998-05-13,317.0,321.75,305.0,305.0,306.5,15850.0,50.47
1998-05-14,305.0,306.0,292.05,303.0,302.85,12600.0,37.91
1998-05-15,310.0,310.0,291.0,300.0,303.8,12150.0,36.76
1998-05-18,305.9,314.0,304.1,312.05,312.0,6450.0,20.01
1998-05-19,311.0,323.4,309.0,323.4,319.35,6400.0,20.12
1998-05-20,328.0,328.0,318.25,320.95,320.95,4500.0,14.46
1998-05-21,319.0,319.0,310.1,316.0,316.0,4300.0,13.59
1998-05-22,314.05,325.0,311.15,322.5,322.3,4000.0,12.71
1998-05-25,315.0,327.0,315.0,323.0,322.55,15850.0,51.15
1998-05-26,318.3,327.0,314.65,327.0,322.9,21250.0,67.57
1998-05-27,334.0,338.0,326.05,328.0,327.2,25400.0,84.34
1998-05-28,325.25,330.0,322.0,322.0,322.7,13850.0,45.15
1998-05-29,316.0,318.0,295.0,303.5,302.3,71350.0,222.97
1998-06-01,310.0,322.0,309.0,311.5,312.0,40150.0,126.83
