Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,3251.0,3267.0,3201.0,,,,
1998-03-23,3200.0,3260.0,3135.0,3240.05,3240.05,820.0,26.49
1998-03-24,3325.0,3325.0,3135.0,3164.0,3153.8,12880.0,409.58
1998-03-25,3220.0,3239.0,3196.0,3218.05,3224.7,4630.0,149.12
1998-03-26,3218.0,3255.0,3190.0,3200.0,3193.1,2800.0,90.24
1998-03-27,3189.0,3212.0,3172.0,3200.0,3199.5,5640.0,180.47
1998-03-30,3240.0,3249.0,3125.0,3135.0,3148.75,5230.0,167.26
1998-03-31,3185.0,3230.0,3112.5,3120.0,3132.75,14420.0,455.84
1998-04-01,3224.95,3298.0,3224.0,3260.0,3259.65,22990.0,750.76
1998-04-02,3275.0,3294.0,3230.0,3232.1,3238.25,10710.0,348.58
1998-04-03,3205.0,3395.0,3205.0,3320.0,3323.5,61760.0,2055.3
1998-04-06,3340.0,3383.0,3290.0,3349.95,3357.65,34330.0,1147.6
1998-04-07,3360.0,3400.0,3324.0,3380.0,3361.5,18800.0,631.69
1998-04-09,3375.0,3408.0,3340.25,3360.0,3359.4,7270.0,244.92
1998-04-10,3360.0,3360.0,3280.0,3304.0,3293.6,3230.0,107.2
1998-04-13,3270.0,3274.0,3207.0,3240.0,3230.75,5240.0,169.49
1998-04-15,3300.0,3339.0,3300.0,3312.0,3315.15,4770.0,158.33
1998-04-16,3317.0,3415.0,3260.0,3311.0,3311.95,8930.0,299.47
1998-04-17,3319.0,3375.0,3305.0,3364.0,3353.0,8240.0,275.33
1998-04-20,3315.0,3475.0,3315.0,3340.0,3353.5,10290.0,350.08
1998-04-21,3350.0,3389.0,3340.0,3349.0,3349.5,7230.0,242.49
1998-04-22,3430.0,3480.0,3342.0,3346.0,3349.35,6000.0,204.91
1998-04-23,3350.0,3350.0,3245.0,3257.0,3261.45,3500.0,115.45
1998-04-24,3263.0,3263.0,3175.0,3228.0,3227.75,4470.0,144.1
1998-04-27,3244.0,3244.0,3208.0,3240.0,3228.0,4750.0,153.1
1998-04-28,3220.0,3270.0,3191.0,3240.0,3238.35,6310.0,203.87
1998-04-29,3320.0,3320.0,3222.5,3226.1,3233.05,3550.0,115.67
1998-04-30,3052.65,3240.0,3052.65,3234.95,3231.7,1400.0,44.93
1998-05-04,3260.0,3320.0,3241.0,3320.0,3315.7,4080.0,134.29
1998-05-05,3335.0,3340.0,3300.0,3329.9,3317.55,2630.0,87.19
1998-05-06,3375.0,3390.0,3220.0,3290.0,3289.5,11140.0,371.26
1998-05-08,3290.0,3295.0,3235.0,3249.0,3243.65,4250.0,138.18
1998-05-11,3150.0,3260.0,3150.0,3255.0,3251.75,2780.0,90.26
1998-05-12,3232.0,3233.0,3133.0,3229.0,3192.55,9370.0,298.29
1998-05-13,3194.0,3217.85,3155.1,3158.0,3162.3,5780.0,184.25
1998-05-14,3150.0,3225.0,3106.0,3210.0,3205.8,8340.0,264.57
1998-05-15,3229.5,3240.0,3150.0,3180.0,3157.6,2590.0,82.18
1998-05-18,3199.0,3205.0,3178.25,3190.0,3183.6,2220.0,70.83
1998-05-19,3190.0,3225.0,3169.3,3211.0,3205.4,4320.0,137.7
1998-05-20,3300.0,3338.0,3215.0,3315.0,3315.55,8000.0,264.32
1998-05-21,3320.0,3330.0,3278.25,3295.0,3291.35,3960.0,130.46
1998-05-22,3295.0,3300.0,3229.0,3230.0,3235.85,5970.0,194.57
