Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,70.0,75.4,70.0,,,,
1998-03-23,74.95,74.95,72.5,73.05,73.05,26700.0,19.6
1998-03-24,75.95,76.0,72.75,73.5,73.25,374200.0,277.32
1998-03-25,75.25,76.9,74.4,76.0,76.5,222800.0,168.59
1998-03-26,76.5,76.8,73.0,73.5,73.7,215400.0,160.71
1998-03-27,73.45,74.2,72.1,74.2,73.8,90800.0,66.59
1998-03-30,74.8,74.8,72.0,72.0,72.3,76600.0,56.21
1998-03-31,71.45,72.65,70.1,70.45,70.3,178800.0,126.98
1998-04-01,69.75,73.6,69.75,72.85,72.8,60400.0,43.77
1998-04-02,73.0,75.5,72.3,73.5,73.5,191500.0,141.53
1998-04-03,73.05,74.7,73.0,74.7,74.25,88100.0,64.98
1998-04-06,75.0,81.35,74.5,79.5,79.65,496900.0,386.44
1998-04-07,79.9,80.95,77.5,79.0,78.95,281100.0,222.53
1998-04-09,80.0,80.5,77.5,79.5,78.5,266200.0,210.2
1998-04-10,78.5,79.6,77.5,78.0,77.9,145500.0,114.32
1998-04-13,77.3,79.2,75.0,76.0,75.45,235200.0,180.64
1998-04-15,78.0,80.85,77.85,79.95,79.75,314700.0,250.93
1998-04-16,80.4,81.0,77.6,77.9,77.9,146600.0,116.09
1998-04-17,78.1,78.5,75.85,77.9,77.35,107300.0,82.73
1998-04-20,78.0,78.25,76.0,76.1,76.2,131500.0,101.18
1998-04-21,75.6,79.2,75.6,78.65,78.25,264900.0,204.59
1998-04-22,81.75,86.1,81.1,81.25,81.7,664700.0,560.04
1998-04-23,81.5,83.0,78.5,79.0,79.25,307100.0,249.1
1998-04-24,79.1,80.0,75.1,78.75,78.85,239500.0,186.59
1998-04-27,77.9,80.0,77.05,77.75,77.6,255000.0,200.48
1998-04-28,76.1,78.9,75.6,78.5,78.1,380500.0,293.38
1998-04-29,78.9,81.4,75.35,76.35,76.25,359700.0,279.57
1998-04-30,76.25,77.0,75.0,77.0,76.8,189300.0,143.92
1998-05-04,78.45,79.0,76.0,77.25,76.95,150700.0,115.9
1998-05-05,77.4,77.5,76.0,77.5,77.0,133000.0,102.13
1998-05-06,78.0,78.45,76.0,76.25,76.1,96800.0,74.47
1998-05-08,76.9,76.9,72.2,74.1,74.0,306100.0,226.48
1998-05-11,73.5,77.0,72.5,76.25,76.35,324300.0,244.79
1998-05-12,75.0,75.2,68.75,73.7,73.15,368700.0,267.6
1998-05-13,73.0,74.5,70.05,70.9,70.75,147900.0,107.03
1998-05-14,69.1,75.0,68.15,74.5,73.8,350500.0,254.28
1998-05-15,74.9,75.0,71.05,73.0,73.1,182300.0,132.39
1998-05-18,72.85,73.5,72.15,72.9,72.6,84000.0,61.12
1998-05-19,72.5,73.25,71.75,73.05,72.75,311100.0,225.22
1998-05-20,73.5,74.6,72.75,74.45,74.45,115000.0,84.88
1998-05-21,74.75,74.95,71.75,72.25,72.4,100200.0,72.82
1998-05-22,72.5,72.95,71.1,72.5,72.45,66800.0,48.14
1998-05-25,71.4,72.3,71.1,71.1,71.35,36700.0,26.31
1998-05-26,70.6,72.5,69.3,72.0,72.0,255600.0,182.6
1998-05-27,73.0,73.9,70.25,71.15,71.15,112900.0,81.07
1998-05-28,71.25,71.8,70.0,70.3,70.1,65200.0,46.06
1998-05-29,67.1,70.1,66.5,69.55,69.45,101500.0,69.79
1998-06-01,69.8,71.1,67.25,67.75,68.0,118600.0,82.75
1998-06-02,66.5,67.9,64.25,65.0,65.05,148400.0,98.1
1998-06-03,68.5,71.2,66.1,67.7,67.4,237900.0,160.83
1998-06-04,68.5,68.5,66.65,67.4,67.45,57900.0,39.21
1998-06-05,67.0,68.0,66.1,66.45,66.65,123400.0,82.82
1998-06-08,65.7,67.0,62.1,64.0,63.6,190000.0,121.37
1998-06-09,65.0,66.85,63.1,66.5,66.05,109400.0,71.46
1998-06-10,65.5,65.8,63.3,63.5,63.75,134500.0,86.24
1998-06-11,62.5,63.4,61.2,63.0,63.0,180700.0,113.15
1998-06-12,63.6,64.35,62.1,62.5,62.8,165700.0,104.95
1998-06-15,62.1,62.75,58.6,59.45,59.3,116600.0,70.46
1998-06-16,58.3,59.8,55.25,59.2,59.4,148900.0,86.01
1998-06-17,61.4,64.5,61.4,64.5,64.05,618400.0,392.46
1998-06-18,62.5,64.5,61.9,62.0,62.25,143700.0,90.99
1998-06-19,61.05,62.7,59.25,62.6,62.1,88200.0,53.72
1998-06-22,59.0,60.5,55.9,58.5,58.2,176900.0,102.69
1998-06-23,58.05,60.0,56.0,58.6,59.05,77000.0,44.96
1998-06-24,60.0,61.4,59.0,61.0,60.9,56700.0,34.17
1998-06-25,61.25,62.5,60.9,60.9,61.35,55200.0,34.04
1998-06-26,61.0,61.5,59.6,60.8,60.75,73200.0,44.39
1998-06-29,60.5,61.4,59.85,61.4,60.7,103100.0,62.26
1998-06-30,61.4,66.7,60.15,65.8,65.25,243400.0,153.4
1998-07-01,62.75,63.25,61.0,61.3,61.55,46700.0,28.9
1998-07-02,60.6,61.45,58.75,58.75,59.25,43800.0,26.37
