Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,33.75,34.1,33.6,,,,
1998-03-23,34.0,34.05,33.6,33.75,33.75,16200.0,5.48
1998-03-24,34.1,34.1,32.6,33.15,33.05,169700.0,56.66
1998-03-25,33.9,34.95,33.5,34.75,34.65,170100.0,58.02
1998-03-26,34.75,35.0,33.7,33.85,33.85,114000.0,39.04
1998-03-27,33.85,34.15,33.4,33.4,33.5,101800.0,34.3
1998-03-30,33.85,33.85,32.55,32.75,32.65,94100.0,31.24
1998-03-31,32.55,33.5,31.0,31.95,32.35,194300.0,61.91
1998-04-01,34.0,34.0,32.35,32.6,32.75,84600.0,27.75
1998-04-02,33.8,33.95,32.5,32.65,32.65,50100.0,16.45
1998-04-03,33.4,33.95,32.0,32.1,32.1,69700.0,22.51
1998-04-06,32.9,33.45,31.5,32.4,32.2,92900.0,29.73
1998-04-07,32.5,32.9,31.85,32.7,32.55,153400.0,49.44
1998-04-09,33.05,35.85,32.25,35.85,35.85,274900.0,97.21
1998-04-10,36.5,37.25,35.0,36.0,36.15,372300.0,134.77
1998-04-13,37.0,39.25,35.0,37.35,35.85,541100.0,199.04
1998-04-15,39.25,39.45,39.25,39.45,39.45,18900.0,7.45
1998-04-16,42.9,43.4,40.0,40.45,40.3,609900.0,253.96
1998-04-17,40.1,40.75,39.0,40.45,40.25,292800.0,116.75
1998-04-20,41.0,42.8,40.1,41.2,41.45,539900.0,226.04
1998-04-21,41.0,43.9,41.0,43.7,43.25,505900.0,214.47
1998-04-22,44.3,47.0,44.0,44.0,44.2,662700.0,300.38
1998-04-23,43.8,43.9,41.5,41.6,42.0,288100.0,123.48
1998-04-24,41.65,42.35,39.65,41.0,41.2,279600.0,114.48
1998-04-27,42.0,42.85,41.0,41.45,41.2,203500.0,85.25
1998-04-28,41.0,41.45,39.5,40.9,40.15,303900.0,122.14
1998-04-29,42.5,42.5,39.4,39.9,39.75,327500.0,133.94
1998-04-30,39.3,39.8,37.9,39.75,39.45,159400.0,61.72
1998-05-04,40.35,40.35,38.55,39.4,39.15,99300.0,39.11
1998-05-05,39.1,40.0,38.55,39.55,39.65,182500.0,71.56
1998-05-06,39.8,40.0,38.7,38.95,38.9,114500.0,44.86
1998-05-08,38.5,38.7,38.0,38.2,38.25,67500.0,25.81
1998-05-11,37.5,39.0,36.75,38.7,38.65,85100.0,32.74
1998-05-12,37.2,38.0,35.2,37.45,37.4,185100.0,68.49
1998-05-13,36.15,37.2,35.6,36.0,35.85,159300.0,57.91
1998-05-14,35.0,37.0,35.0,36.9,36.85,127800.0,46.18
1998-05-15,36.5,37.3,36.1,37.2,36.85,148700.0,54.6
1998-05-18,36.95,37.4,36.6,37.3,37.2,107100.0,39.7
1998-05-19,37.25,39.95,36.9,39.5,39.15,258800.0,98.55
1998-05-20,40.0,41.0,39.65,40.7,40.8,279200.0,112.77
1998-05-21,41.2,41.2,39.1,40.0,40.0,154700.0,61.61
1998-05-22,39.85,40.75,39.75,40.5,40.6,220300.0,88.9
1998-05-25,40.0,41.25,40.0,40.95,41.05,251300.0,102.97
1998-05-26,40.8,40.8,40.05,40.7,40.5,340500.0,137.92
1998-05-27,39.9,41.2,39.9,40.4,40.35,304300.0,123.52
1998-05-28,40.05,40.8,40.0,40.25,40.1,110400.0,44.44
1998-05-29,39.0,40.25,38.55,40.0,39.85,137800.0,54.37
1998-06-01,39.0,40.9,39.0,39.55,39.6,91500.0,36.69
1998-06-02,39.3,39.6,38.0,38.9,38.3,165200.0,63.62
1998-06-03,38.8,38.9,37.6,38.3,38.6,50300.0,19.19
1998-06-04,38.45,39.0,38.25,38.5,38.85,130700.0,50.72
1998-06-05,38.25,39.0,37.3,37.8,37.4,61300.0,23.28
1998-06-08,36.5,37.9,35.0,35.6,35.35,209300.0,74.8
1998-06-09,35.25,36.5,35.1,36.45,36.15,105700.0,38.15
