Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,589.0,589.0,553.0,,,,
1998-03-23,551.0,567.0,533.0,533.0,533.0,1200.0,6.6
1998-03-24,569.0,570.0,545.0,545.0,545.15,6900.0,38.21
1998-03-25,530.0,569.85,519.0,520.0,521.2,77650.0,410.0
1998-03-26,527.0,556.0,525.0,541.95,540.15,18900.0,102.26
1998-03-27,576.0,576.0,543.05,572.75,571.2,3050.0,17.1
1998-03-30,625.0,625.0,570.0,570.0,570.0,2650.0,15.36
1998-03-31,585.0,620.0,545.0,620.0,581.3,9950.0,55.51
1998-04-01,570.0,600.0,525.05,541.0,540.8,21800.0,119.21
1998-04-02,542.0,544.9,500.5,500.5,506.15,28350.0,148.72
1998-04-03,511.0,515.0,473.0,502.0,503.7,38050.0,187.75
1998-04-06,504.0,505.0,494.0,500.25,500.25,27100.0,135.31
1998-04-07,500.0,512.0,498.0,502.5,504.2,37900.0,190.37
1998-04-09,529.9,555.0,521.1,540.0,537.8,44050.0,237.12
1998-04-10,541.0,544.0,535.0,536.0,538.3,19800.0,107.02
1998-04-13,527.0,538.0,525.0,528.1,528.0,42950.0,228.3
1998-04-15,535.2,550.0,535.2,541.5,540.75,22300.0,120.77
1998-04-16,544.0,544.75,530.1,534.0,535.0,6450.0,34.43
1998-04-17,527.5,532.0,521.0,528.0,526.75,10250.0,53.91
1998-04-20,533.5,540.0,522.0,528.0,528.1,22500.0,119.16
1998-04-21,526.0,532.0,521.0,524.05,530.05,41250.0,217.48
1998-04-22,539.0,541.0,527.5,532.5,533.05,33250.0,177.28
1998-04-23,528.0,533.0,525.25,532.0,531.95,16300.0,86.46
1998-04-24,531.0,533.5,512.0,524.3,524.6,13150.0,68.89
1998-04-27,527.95,534.75,520.0,527.95,527.6,11600.0,60.88
1998-04-28,530.0,532.0,520.1,530.95,530.0,73000.0,386.45
1998-04-29,530.0,534.0,526.0,528.5,528.25,13750.0,72.77
1998-04-30,525.0,530.0,522.0,529.0,528.65,9300.0,48.93
1998-05-04,528.0,532.0,523.2,530.0,529.7,37550.0,198.22
1998-05-05,532.0,582.5,526.0,582.5,564.0,90500.0,502.07
1998-05-06,599.9,600.0,570.0,576.65,575.15,57750.0,338.42
1998-05-08,566.0,570.0,558.0,567.0,564.35,14600.0,82.14
1998-05-11,565.0,582.0,563.05,581.85,580.3,30900.0,177.76
1998-05-12,568.0,581.0,550.0,577.25,577.4,75050.0,426.77
1998-05-13,557.0,585.0,557.0,567.0,569.6,33800.0,194.19
1998-05-14,555.85,585.0,555.85,585.0,579.25,24300.0,139.04
1998-05-15,585.0,585.0,572.0,582.0,582.35,25150.0,145.86
1998-05-18,580.0,602.5,576.0,602.5,597.8,81800.0,485.9
1998-05-19,600.0,607.9,574.0,604.9,604.7,202650.0,1217.44
1998-05-20,623.9,634.5,608.05,631.95,629.5,115450.0,715.35
1998-05-21,629.9,630.0,605.25,612.0,611.35,19050.0,117.15
1998-05-22,615.0,615.0,607.0,614.0,613.05,12250.0,74.98
1998-05-25,613.0,614.0,606.0,614.0,613.2,17900.0,109.47
1998-05-26,614.5,615.95,588.0,600.0,604.45,53850.0,327.47
1998-05-27,660.0,660.0,606.0,610.0,610.05,18600.0,113.41
1998-05-28,610.0,613.0,605.2,610.2,610.95,20100.0,122.68
1998-05-29,605.0,606.0,588.0,605.0,605.05,9700.0,58.26
1998-06-01,609.0,615.5,570.0,594.0,596.95,18200.0,109.56
1998-06-02,601.0,601.0,575.0,583.35,583.0,14600.0,85.39
1998-06-03,592.0,605.0,580.0,590.0,588.3,17450.0,102.3
1998-06-04,585.0,590.0,582.0,588.25,588.2,18600.0,109.29
1998-06-05,582.0,590.0,575.0,585.0,580.95,51350.0,298.14
1998-06-08,577.5,586.5,572.5,586.0,584.75,36250.0,209.82
1998-06-09,580.0,584.5,570.0,570.0,581.2,76600.0,444.27
1998-06-10,575.5,581.5,570.2,581.0,580.3,13950.0,80.71
1998-06-11,576.0,578.0,561.0,573.0,573.6,15700.0,89.77
1998-06-12,570.0,582.25,564.5,570.0,568.75,42650.0,245.95
1998-06-15,560.0,575.0,512.0,525.0,525.3,32500.0,176.32
