Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,726.1,730.5,721.45,,,,
1998-03-23,728.5,734.45,725.0,734.0,733.55,920200.0,6711.06
1998-03-24,735.0,738.7,710.25,716.9,720.5,3313500.0,24109.23
1998-03-25,724.0,729.0,719.3,724.5,726.5,2977700.0,21566.25
1998-03-26,724.0,727.5,711.5,713.0,713.4,3746500.0,26917.54
1998-03-27,712.9,717.95,708.3,717.0,716.9,3394100.0,24234.05
1998-03-30,716.9,718.8,695.7,697.5,698.85,4134300.0,29196.73
1998-03-31,699.85,718.0,696.3,717.0,711.1,5873200.0,41372.93
1998-04-01,719.0,759.95,719.0,758.0,756.4,9745900.0,72097.07
1998-04-02,759.8,775.95,743.15,762.2,766.25,7834200.0,59561.13
1998-04-03,767.0,784.7,764.95,783.05,781.5,5530700.0,42891.52
1998-04-06,781.1,786.35,772.1,782.1,781.85,4150200.0,32330.99
1998-04-07,779.0,798.2,777.65,785.0,789.35,5877800.0,46336.8
1998-04-09,797.0,797.0,770.05,775.35,775.65,6487900.0,50606.47
1998-04-10,773.0,777.0,763.5,767.4,766.45,5141500.0,39551.82
1998-04-13,760.05,765.5,748.0,752.0,754.3,5371000.0,40750.86
1998-04-15,769.85,784.0,764.5,778.0,779.6,3718800.0,28816.32
1998-04-16,775.75,780.0,768.5,769.5,770.55,2885800.0,22323.86
1998-04-17,769.0,792.0,765.25,786.5,787.15,6012900.0,46850.49
1998-04-20,789.0,790.45,768.05,769.9,773.6,3360800.0,26235.14
1998-04-21,774.35,795.0,772.0,777.9,783.75,4813000.0,37704.7
1998-04-22,790.25,797.6,776.3,777.9,778.4,3471400.0,27286.16
1998-04-23,776.05,782.5,765.4,768.0,768.65,3197900.0,24785.24
1998-04-24,769.5,775.8,750.0,772.55,772.25,4893100.0,37403.99
1998-04-27,773.9,775.0,764.1,767.5,767.45,1850200.0,14218.36
1998-04-28,766.0,769.0,758.05,759.0,760.75,3064200.0,23378.8
1998-04-29,770.0,777.9,761.1,763.0,763.95,2529000.0,19449.97
1998-04-30,762.05,793.9,762.05,791.6,791.0,5361100.0,41872.65
1998-05-04,794.9,810.9,794.9,808.75,808.2,5116300.0,41124.93
1998-05-05,808.95,809.3,795.1,799.0,799.7,3853200.0,30945.04
1998-05-06,805.0,806.0,785.5,790.0,788.35,3393200.0,26867.4
1998-05-08,786.05,795.4,781.75,787.0,788.95,3607500.0,28463.07
1998-05-11,786.0,787.9,779.1,784.5,784.0,1853200.0,14521.92
1998-05-12,782.55,782.55,740.05,774.0,773.35,6902400.0,52949.89
1998-05-13,762.25,779.0,752.05,757.0,757.05,4763600.0,36554.5
1998-05-14,757.0,798.25,755.05,798.0,795.75,9127200.0,71154.72
1998-05-15,799.9,813.05,798.0,800.0,801.0,6093200.0,49037.68
1998-05-18,803.95,808.7,800.1,803.5,802.8,2700100.0,21729.83
1998-05-19,802.5,805.8,795.15,805.0,801.7,3743600.0,29985.1
1998-05-20,807.0,828.75,806.0,824.0,825.85,4631000.0,37915.23
1998-05-21,826.9,830.0,805.1,814.0,816.6,4594800.0,37552.29
1998-05-22,816.0,818.95,794.55,802.0,806.7,7436100.0,60015.52
1998-05-25,792.95,798.95,782.65,791.5,796.15,3805100.0,30151.51
1998-05-26,790.0,791.15,771.1,775.0,776.8,3854700.0,30159.8
1998-05-27,770.0,770.0,706.25,713.0,711.85,10225100.0,75116.8
1998-05-28,708.25,728.0,696.6,714.75,714.2,7209800.0,51593.07
1998-05-29,707.25,707.25,672.1,688.1,688.1,8177700.0,56513.86
1998-06-01,692.0,695.0,662.15,667.0,668.4,6191900.0,42148.29
1998-06-02,665.0,668.0,631.7,643.05,639.1,8301800.0,53765.02
1998-06-03,647.0,664.85,635.0,664.25,661.25,6683900.0,43368.72
1998-06-04,666.0,667.5,655.35,656.25,657.85,4021700.0,26569.68
1998-06-05,658.0,674.7,635.1,639.0,641.8,6616400.0,43615.83
1998-06-08,645.0,648.8,585.0,639.0,623.2,10423300.0,63641.23
1998-06-09,643.7,656.0,622.55,646.25,644.55,5647000.0,36448.78
1998-06-10,640.0,646.9,609.1,609.6,614.7,6221800.0,38896.75
1998-06-11,608.65,628.7,596.0,625.0,624.25,6164500.0,37774.33
1998-06-12,625.0,653.9,625.0,644.8,642.9,5349000.0,34351.77
1998-06-15,632.0,635.0,600.6,603.0,604.75,5580700.0,34359.33
1998-06-16,600.2,619.7,572.1,618.5,613.2,7224500.0,43202.79
1998-06-17,630.0,674.4,630.0,674.4,673.7,3794700.0,25180.68
1998-06-18,689.0,693.0,661.0,662.0,665.15,3682100.0,24866.65
1998-06-19,656.0,656.0,619.25,624.0,622.95,4473800.0,28317.49
1998-06-22,620.05,635.0,572.2,632.3,611.15,5557000.0,32919.08
1998-06-23,628.0,632.4,598.1,625.0,628.65,5466300.0,33809.95
1998-06-24,625.0,645.0,622.0,642.05,642.85,4216300.0,26870.43
1998-06-25,644.9,665.0,642.1,644.0,652.9,3771200.0,24621.77
1998-06-26,650.0,650.0,636.25,642.0,640.4,2935500.0,18847.03
1998-06-29,636.55,661.7,626.0,659.5,659.55,3829700.0,25027.69
1998-06-30,662.0,663.0,650.55,653.0,654.25,2407000.0,15782.66
1998-07-01,647.75,647.75,628.0,635.0,638.5,3414700.0,21767.04
1998-07-02,633.1,645.5,627.0,638.0,636.55,3177000.0,20281.79
1998-07-03,632.05,638.0,617.5,620.7,619.95,3466200.0,21707.99
1998-07-06,623.7,650.0,618.0,649.5,646.4,4024500.0,25708.05
1998-07-07,650.0,659.0,646.0,651.0,650.5,3534200.0,23053.55
1998-07-08,656.0,682.0,655.3,673.5,676.45,5498600.0,36819.05
1998-07-09,676.0,696.0,676.0,692.5,688.95,5469100.0,37608.63
1998-07-10,693.75,704.9,692.15,701.55,700.25,3665200.0,25595.4
1998-07-13,699.0,711.4,674.0,674.3,677.5,5384000.0,37347.19
1998-07-14,677.6,693.45,676.0,690.5,689.0,3548400.0,24278.46
1998-07-15,695.05,702.9,679.0,685.4,682.2,4273800.0,29542.64
1998-07-16,687.6,724.0,680.0,723.0,719.85,7039600.0,49566.08
1998-07-17,724.7,726.85,692.0,699.0,697.0,6316000.0,44654.86
1998-07-20,699.9,700.0,673.0,676.0,676.8,3992100.0,27210.21
1998-07-21,676.0,690.7,666.05,674.0,671.4,5409000.0,36612.51
1998-07-22,678.0,686.9,675.05,678.65,677.65,3137500.0,21340.89
1998-07-23,674.6,675.8,648.3,651.5,651.25,4704900.0,31088.76
1998-07-24,651.3,654.0,638.05,640.9,640.55,3550600.0,22915.12
1998-07-27,643.0,654.5,626.05,628.5,631.1,4209200.0,26772.24
1998-07-28,629.0,651.8,629.0,648.9,645.75,4490300.0,28812.74
1998-07-29,647.0,663.7,644.15,657.4,659.75,3805200.0,24916.16
1998-07-30,662.0,668.9,631.3,634.0,634.4,6046000.0,39168.28
1998-07-31,637.0,648.75,626.25,636.5,636.55,7019200.0,44840.77
1998-08-03,631.15,631.15,597.6,598.0,600.95,4615200.0,27994.25
1998-08-04,598.0,610.0,596.05,600.0,600.85,4149300.0,25026.95
1998-08-05,588.25,610.0,582.0,610.0,602.7,4074900.0,24159.37
1998-08-06,606.3,616.9,592.15,594.1,595.9,6422900.0,38793.93
1998-08-07,591.3,602.0,589.3,592.5,592.7,4129000.0,24563.02
1998-08-10,589.1,589.9,579.05,581.15,580.5,3402100.0,19877.48
1998-08-11,579.0,583.0,570.1,571.5,574.4,2941900.0,17002.25
1998-08-12,569.0,583.9,564.0,574.0,573.65,4289500.0,24649.87
1998-08-13,571.1,590.0,569.2,584.95,584.35,4728800.0,27451.72
1998-08-14,582.3,589.0,579.05,581.25,580.8,2529000.0,14760.56
1998-08-17,581.3,589.3,563.55,563.55,565.8,3936800.0,22662.25
1998-08-18,565.0,577.75,561.55,573.65,571.35,3393000.0,19242.66
1998-08-19,574.5,584.9,570.55,584.5,580.4,3944600.0,22836.1
1998-08-20,588.9,616.45,588.9,615.1,613.1,4842000.0,29124.81
1998-08-21,609.5,613.95,600.5,605.0,604.55,4329700.0,26282.06
1998-08-24,602.5,613.25,595.0,610.05,610.95,4215800.0,25464.72
1998-08-25,612.0,629.8,612.0,622.1,626.6,4389600.0,27279.53
